roster_spot,player,position,status,next_game,team,home_away,next_versus,has_game_tonight,owner
C,Joe Thornton,C,NA,4:00 am,SJS,home,ARI,1,Motor IK
C,Jonathan Toews,C,Day-to-Day,2:30 am,CHI,home,FLA,1,Motor IK
C,Brayden Schenn,"C,LW",NA,1:30 am,PHI,home,BOS,1,Motor IK
LW,Filip Forsberg,LW,NA,3:00 am,NSH,away,COL,1,Motor IK
LW,Jeff Skinner,LW,NA,1:00 am,CAR,away,NYR,1,Motor IK
LW,Mike Hoffman,LW,NA,1:30 am,OTT,home,BUF,1,Motor IK
RW,Wayne Simmonds,RW,NA,1:30 am,PHI,home,BOS,1,Motor IK
RW,Vladimir Tarasenko,RW,NA,NA,STL,NA,NA,0,Motor IK
RW,Marian Hossa,RW,NA,2:30 am,CHI,home,FLA,1,Motor IK
D,Brent Burns,D,NA,4:00 am,SJS,home,ARI,1,Motor IK
D,Keith Yandle,D,NA,2:30 am,FLA,away,CHI,1,Motor IK
D,Marc-Edouard Vlasic,D,NA,4:00 am,SJS,home,ARI,1,Motor IK
D,Colton Parayko,D,NA,NA,STL,NA,NA,0,Motor IK
D,Dion Phaneuf,D,NA,1:30 am,OTT,home,BUF,1,Motor IK
D,Zdeno Chara,D,Day-to-Day,1:30 am,BOS,away,PHI,1,Motor IK
Util,Milan Lucic,LW,NA,3:00 am,EDM,home,TOR,1,Motor IK
G,Roberto Luongo,G,NA,2:30 am,FLA,away,CHI,1,Motor IK
G,Craig Anderson,G,NA,1:30 am,OTT,home,BUF,1,Motor IK
BN,Nail Yakupov,RW,NA,NA,STL,NA,NA,0,Motor IK
BN,Evgeny Kuznetsov,C,NA,NA,WAS,NA,NA,0,Motor IK
BN,Jeff Carter,C,NA,NA,LAK,NA,NA,0,Motor IK
BN,Jake Allen,G,NA,NA,STL,NA,NA,0,Motor IK
C,Alexander Wennberg,C,NA,1:00 am,CLS,home,TB,1,Basi SK
C,Derick Brassard,C,NA,1:30 am,OTT,home,BUF,1,Basi SK
C,David Krejci,C,NA,1:30 am,BOS,away,PHI,1,Basi SK
LW,Ryan O'Reilly,"C,LW",NA,1:30 am,BUF,away,OTT,1,Basi SK
LW,Jonathan Marchessault,"C,LW",NA,2:30 am,FLA,away,CHI,1,Basi SK
LW,James van Riemsdyk,LW,NA,3:00 am,TOR,away,EDM,1,Basi SK
RW,Patrick Eaves,RW,NA,1:30 am,DAL,away,DET,1,Basi SK
RW,Leon Draisaitl,"C,RW",NA,3:00 am,EDM,home,TOR,1,Basi SK
RW,Cam Atkinson,RW,NA,1:00 am,CLS,home,TB,1,Basi SK
D,Erik Karlsson,D,NA,1:30 am,OTT,home,BUF,1,Basi SK
D,Duncan Keith,D,NA,2:30 am,CHI,home,FLA,1,Basi SK
D,Nick Leddy,D,NA,NA,NYI,NA,NA,0,Basi SK
D,Morgan Rielly,D,NA,3:00 am,TOR,away,EDM,1,Basi SK
D,Tyson Barrie,D,NA,3:00 am,COL,home,NSH,1,Basi SK
D,Hampus Lindholm,D,NA,4:00 am,ANA,home,MON,1,Basi SK
Util,Ryan Getzlaf,C,NA,4:00 am,ANA,home,MON,1,Basi SK
G,Ben Bishop,G,NA,1:00 am,TBL,away,CLS,1,Basi SK
G,Tuukka Rask,G,NA,1:30 am,BOS,away,PHI,1,Basi SK
BN,Phil Kessel,RW,NA,NA,PIT,NA,NA,0,Basi SK
BN,Nathan MacKinnon,"C,RW",NA,3:00 am,COL,home,NSH,1,Basi SK
BN,Johnny Gaudreau,LW,Injured Reserve,NA,CGY,NA,NA,0,Basi SK
IR,Jack Eichel,C,Injured Reserve,1:30 am,BUF,away,OTT,1,Basi SK
BN,John Gibson,G,NA,4:00 am,ANA,home,MON,1,Basi SK
C,J.T. Miller,"C,LW,RW",Day-to-Day,1:00 am,NYR,home,CAR,1,Gökarna
C,Tyler Seguin,C,NA,1:30 am,DAL,away,DET,1,Gökarna
C,Ryan Johansen,C,NA,3:00 am,NSH,away,COL,1,Gökarna
LW,Chris Kreider,LW,NA,1:00 am,NYR,home,CAR,1,Gökarna
LW,Jamie Benn,LW,NA,1:30 am,DAL,away,DET,1,Gökarna
LW,Thomas Vanek,"LW,RW",NA,1:30 am,DET,home,DAL,1,Gökarna
RW,Blake Wheeler,RW,NA,2:00 am,WPG,home,NJ,1,Gökarna
RW,Mitchell Marner,"C,RW",NA,3:00 am,TOR,away,EDM,1,Gökarna
RW,Nick Foligno,"LW,RW",NA,1:00 am,CLS,home,TB,1,Gökarna
D,Kris Letang,D,NA,NA,PIT,NA,NA,0,Gökarna
D,Mark Giordano,D,NA,NA,CGY,NA,NA,0,Gökarna
D,Kevin Shattenkirk,D,NA,NA,STL,NA,NA,0,Gökarna
