team,season,game_index,date,home_away,versus,goals,goals_against,win_loss,overtime,cum_wins,cum_losses,cum_overtime_losses,streak,shots,penalty_in_minutes_against,power_play_goals,power_play_opportunities,short_handed_goals,shots_against,penalty_in_minutes_in_favor,power_play_goals_against,power_play_opportunities_against,short_handed_goals_against,attendance,game_length
ANA,2016.0,1,2015-10-10,A,SJS,0,2,L,NA,0,1,0,L 1,27,2,0,1,0,44,2,0,1,0,17562.0,145.0
ANA,2016.0,2,2015-10-12,H,VAN,1,2,L,SO,0,1,1,L 2,29,9,0,2,0,25,9,0,2,0,17174.0,145.0
ANA,2016.0,3,2015-10-14,H,ARI,0,4,L,NA,0,2,1,L 3,37,17,0,3,0,29,11,1,6,0,15172.0,153.0
ANA,2016.0,4,2015-10-16,H,COL,0,3,L,NA,0,3,1,L 4,35,8,0,5,0,25,14,0,2,0,17174.0,149.0
ANA,2016.0,5,2015-10-18,H,MIN,4,1,W,NA,1,3,1,W 1,22,2,0,2,0,35,4,0,1,0,16784.0,154.0
ANA,2016.0,6,2015-10-22,A,NSH,1,5,L,NA,1,4,1,L 1,28,10,1,5,0,29,10,1,5,0,17113.0,148.0
ANA,2016.0,7,2015-10-24,A,MIN,0,3,L,NA,1,5,1,L 2,15,8,0,1,0,30,2,0,5,1,19034.0,149.0
ANA,2016.0,8,2015-10-26,A,CHI,0,1,L,OT,1,5,2,L 3,39,25,0,3,0,24,15,0,3,0,21529.0,156.0
ANA,2016.0,9,2015-10-27,A,DAL,3,4,L,NA,1,6,2,L 4,20,11,1,4,0,34,13,1,3,1,17798.0,152.0
ANA,2016.0,10,2015-10-29,A,STL,1,2,L,NA,1,7,2,L 5,23,17,1,4,0,34,15,0,5,0,16904.0,150.0
ANA,2016.0,11,2015-11-01,H,NSH,4,2,W,NA,2,7,2,W 1,28,12,0,2,0,42,8,1,6,0,16276.0,152.0
ANA,2016.0,12,2015-11-04,H,FLA,3,2,W,SO,3,7,2,W 2,39,6,1,5,0,25,10,0,3,0,15169.0,169.0
ANA,2016.0,13,2015-11-06,H,CBJ,4,2,W,NA,4,7,2,W 3,34,8,1,3,0,36,10,0,2,0,17174.0,146.0
ANA,2016.0,14,2015-11-07,A,SJS,1,0,W,NA,5,7,2,W 4,17,28,0,2,0,31,24,0,4,0,17562.0,152.0
ANA,2016.0,15,2015-11-09,H,ARI,3,4,L,OT,5,7,3,L 1,36,10,1,4,0,28,8,1,5,0,13864.0,150.0
ANA,2016.0,16,2015-11-11,H,EDM,3,4,L,OT,5,7,4,L 2,37,9,1,2,0,27,9,1,2,0,16505.0,150.0
ANA,2016.0,17,2015-11-13,H,NYI,1,4,L,NA,5,8,4,L 3,25,17,1,3,0,29,13,0,5,0,17174.0,148.0
ANA,2016.0,18,2015-11-16,A,CAR,4,1,W,NA,6,8,4,W 1,20,6,0,0,0,25,0,0,3,0,9305.0,142.0
ANA,2016.0,19,2015-11-17,A,NSH,2,3,L,NA,6,9,4,L 1,40,19,0,5,0,21,17,1,6,0,17113.0,150.0
ANA,2016.0,20,2015-11-19,A,FLA,3,1,W,NA,7,9,4,W 1,41,11,1,3,1,25,11,0,3,0,10947.0,150.0
ANA,2016.0,21,2015-11-21,A,TBL,0,5,L,NA,7,10,4,L 1,30,14,0,1,0,24,8,2,4,0,19092.0,151.0
ANA,2016.0,22,2015-11-24,H,CGY,5,3,W,NA,8,10,4,W 1,32,9,2,2,0,25,9,0,2,0,15688.0,152.0
ANA,2016.0,23,2015-11-25,A,ARI,2,4,L,NA,8,11,4,L 1,31,8,2,3,0,34,8,1,3,0,11578.0,152.0
ANA,2016.0,24,2015-11-27,H,CHI,2,3,L,OT,8,11,5,L 2,25,10,0,3,0,32,8,1,4,0,17174.0,163.0
ANA,2016.0,25,2015-11-30,H,VAN,4,0,W,NA,9,11,5,W 1,30,8,1,3,0,25,18,0,3,0,14006.0,149.0
ANA,2016.0,26,2015-12-02,H,TBL,1,2,L,NA,9,12,5,L 1,33,8,0,4,0,22,8,1,4,0,14741.0,160.0
ANA,2016.0,27,2015-12-04,H,SJS,1,0,W,NA,10,12,5,W 1,26,11,0,4,0,23,13,0,4,0,15701.0,146.0
