player,decision,goals_allowed,shots_against,saves,save_percentage,shutout,penalty_minutes,minutes_on_ice,team,versus,date
Steve Mason,L,2,33,31,0.939,0,0,58.7,PHI,BOS,2014-10-08
Tuukka Rask,W,1,20,19,0.95,0,0,60.0,BOS,PHI,2014-10-08
Ryan Miller,W,2,25,23,0.92,0,0,60.0,VAN,CGY,2014-10-08
Jonas Hiller,L,3,32,29,0.906,0,0,58.6,CGY,VAN,2014-10-08
Antti Niemi,W,0,34,34,1.0,1,0,60.0,SJS,LAK,2014-10-08
Jonathan Quick,L,4,27,23,0.852,0,0,40.0,LAK,SJS,2014-10-08
Martin Jones,L,0,3,3,1.0,0,0,19.9,LAK,SJS,2014-10-08
Carey Price,W,3,27,24,0.889,0,0,59.3,MTL,TOR,2014-10-08
Jonathan Bernier,L,4,32,28,0.875,0,0,59.5,TOR,MTL,2014-10-08
Ondrej Pavelec,W,2,28,26,0.929,0,0,60.0,WPG,ARI,2014-10-09
Mike Smith,L,6,27,21,0.778,0,0,60.0,ARI,WPG,2014-10-09
Sergei Bobrovsky,W,1,22,21,0.955,0,0,59.7,CBJ,BUF,2014-10-09
Jhonas Enroth,L,3,40,37,0.925,0,0,60.0,BUF,CBJ,2014-10-09
Corey Crawford,W,2,34,32,0.941,0,0,65.0,CHI,DAL,2014-10-09
Kari Lehtonen,O,2,26,24,0.923,0,0,65.0,DAL,CHI,2014-10-09
Tuukka Rask,L,2,24,22,0.917,0,0,58.1,BOS,DET,2014-10-09
Jimmy Howard,W,1,17,16,0.941,0,0,60.0,DET,BOS,2014-10-09
Karri Ramo,W,2,40,38,0.95,0,0,60.0,CGY,EDM,2014-10-09
Ben Scrivens,L,5,26,21,0.808,0,0,59.1,EDM,CGY,2014-10-09
Semyon Varlamov,L,5,38,33,0.868,0,0,40.0,COL,MIN,2014-10-09
Reto Berra,L,0,10,10,1.0,0,0,20.0,COL,MIN,2014-10-09
Darcy Kuemper,W,0,16,16,1.0,1,0,59.9,MIN,COL,2014-10-09
Craig Anderson,L,3,37,34,0.919,0,0,59.3,OTT,NSH,2014-10-09
Pekka Rinne,W,2,20,18,0.9,0,0,60.0,NSH,OTT,2014-10-09
Cory Schneider,W,4,39,35,0.897,0,0,60.0,NJD,PHI,2014-10-09
Steve Mason,L,5,25,20,0.8,0,0,58.7,PHI,NJD,2014-10-09
John Gibson,L,6,39,33,0.846,0,0,60.0,ANA,PIT,2014-10-09
Marc-Andre Fleury,W,4,29,25,0.862,0,0,60.0,PIT,ANA,2014-10-09
Henrik Lundqvist,W,2,25,23,0.92,0,0,60.0,NYR,STL,2014-10-09
Brian Elliott,L,3,25,22,0.88,0,0,59.2,STL,NYR,2014-10-09
Roberto Luongo,O,3,32,29,0.906,0,0,60.9,FLA,TBL,2014-10-09
Ben Bishop,W,2,21,19,0.905,0,0,61.2,TBL,FLA,2014-10-09
Dustin Tokarski,W,1,30,29,0.967,0,0,65.0,MTL,WSH,2014-10-09
Braden Holtby,O,1,24,23,0.958,0,0,65.0,WSH,MTL,2014-10-09
Jaroslav Halak,W,3,24,21,0.875,0,0,60.0,NYI,CAR,2014-10-10
Cam Ward,L,5,26,21,0.808,0,0,58.6,CAR,NYI,2014-10-10
