player,line,team
Justin Bailey,Scratched,ANA
Nick Baptiste,Scratched,ANA
Zach Bogosian,IR4,ANA
Will Carrier,RW4,ANA
Daniel Catenacci,Scratched,ANA
Carlo Colaiacovo,Scratched,ANA
Nick Crawford,Scratched,ANA
Jerry D'Amigo,Scratched,ANA
Nicolas Deslauriers,IR3,ANA
Matt Donovan,Scratched,ANA
Jack Eichel,C2,ANA
Matt Ellis,Scratched,ANA
Tyler Ennis,IR5,ANA
Justin Falk,RD3,ANA
Hudson Fasching,Scratched,ANA
Taylor Fedun,LD3,ANA
Marcus Foligno,LW3,ANA
Cody Franson,RD2,ANA
Brian Gionta,RW3,ANA
Zemgus Girgensons,RW1,ANA
Josh Gorges,IR6,ANA
Derek Grant,LW2,ANA
Brendan Guhle,LD2,ANA
Alex Guptill,,ANA
Jochen Hecht,Scratched,ANA
Evander Kane,C4,ANA
Jason Kasdorf,,ANA
Rostislav Klesla,Scratched,ANA
Connor Knapp,Scratched,ANA
Dmitry Kulikov,IR2,ANA
Jacob Lagace,,ANA
Johan Larsson,C3,ANA
Robin Lehner,G1,ANA
Ville Leino,Scratched,ANA
Nathan Lieuwen,Scratched,ANA
Matt MacKenzie,,ANA
Andrey Makarov,Scratched,ANA
Jake McCabe,LD1,ANA
Cody McCormick,IR1,ANA
Matt Moulson,LW4,ANA
Casey Nelson,Scratched,ANA
Anders Nilsson,G2,ANA
Alex Nylander,Scratched,ANA
Eric O'Dell,Scratched,ANA
Cal O'Reilly,Scratched,ANA
Ryan O'Reilly,C1,ANA
Kyle Okposo,LW1,ANA
Linus Omark,Scratched,ANA
Dennis Persson,,ANA
Sam Reinhart,RW2,ANA
Rasmus Ristolainen,RD1,ANA
Evan Rodrigues,Scratched,ANA
Drew Schiestel,,ANA
Cole Schneider,Scratched,ANA
Michael Sdao,,ANA
Alexander Sulzer,Scratched,ANA
Kevin Sundher,,ANA
Paul Szczechura,Scratched,ANA
Shawn Szydlowski,,ANA
Jamie Tardif,Scratched,ANA
Linus Ullmark,Scratched,ANA
Justin Bailey,Scratched,ARI
Nick Baptiste,Scratched,ARI
Zach Bogosian,IR4,ARI
Will Carrier,RW4,ARI
Daniel Catenacci,Scratched,ARI
Carlo Colaiacovo,Scratched,ARI
Nick Crawford,Scratched,ARI
Jerry D'Amigo,Scratched,ARI
Nicolas Deslauriers,IR3,ARI
Matt Donovan,Scratched,ARI
Jack Eichel,C2,ARI
Matt Ellis,Scratched,ARI
Tyler Ennis,IR5,ARI
Justin Falk,RD3,ARI
Hudson Fasching,Scratched,ARI
Taylor Fedun,LD3,ARI
Marcus Foligno,LW3,ARI
Cody Franson,RD2,ARI
Brian Gionta,RW3,ARI
Zemgus Girgensons,RW1,ARI
Josh Gorges,IR6,ARI
Derek Grant,LW2,ARI
Brendan Guhle,LD2,ARI
Alex Guptill,,ARI
Jochen Hecht,Scratched,ARI
