no,player,letter,origin,position,age,height,weight,shoots,exp,salary,team
1,Jonathan Bernier,NA,CA,G,28,6-0,184,L,8,"$4,150,000",ANA
2,Kevin Bieksa,NA,CA,D,35,6-1,200,R,11,"$4,000,000",ANA
40,Jared Boll,NA,US,RW,30,6-3,209,R,9,"$900,000",ANA
7,Andrew Cogliano,NA,CA,LW,29,5-10,184,L,9,"$3,100,000",ANA
74,Joseph Cramarossa,NA,CA,LW,24,6-0,192,L,R,"$724,500",ANA
6,Simon Despres,NA,CA,D,25,6-4,218,L,5,"$2,600,000",ANA
26,Emerson Etem,NA,US,RW,24,6-1,212,L,4,"$775,000",ANA
4,Cam Fowler,NA,CA,D,25,6-1,207,L,6,"$4,000,000",ANA
16,Ryan Garbutt,NA,CA,LW,31,6-0,195,L,5,"$1,100,000",ANA
15,Ryan Getzlaf,C,CA,C,31,6-4,221,R,11,"$9,250,000",ANA
36,John Gibson,NA,US,G,23,6-3,226,NA,3,"$1,500,000",ANA
5,Korbinian Holzer,NA,DE,D,28,6-3,215,R,4,"$700,000",ANA
86,Ondrej Kase,NA,CZ,RW,21,6-0,180,R,R,"$645,000",ANA
17,Ryan Kesler,NA,US,C,32,6-2,202,R,12,"$7,875,000",ANA
51,Jacob Larsson,NA,SE,D,19,6-2,191,L,R,"$925,000",ANA
47,Hampus Lindholm,NA,SE,D,23,6-3,205,L,3,"$3,000,000",ANA
42,Josh Manson,NA,US,D,25,6-3,215,R,2,"$825,000",ANA
10,Corey Perry,NA,CA,RW,31,6-3,210,R,11,"$10,000,000",ANA
67,Rickard Rakell,NA,SE,C,23,6-2,201,R,4,"$3,800,000",ANA
39,Mason Raymond,NA,CA,LW,31,6-1,179,L,9,N/A,ANA
37,Nick Ritchie,NA,CA,LW,21,6-2,232,L,1,"$925,000",ANA
48,Michael Sgarbossa,NA,CA,C,24,6-0,186,L,3,N/A,ANA
48,Logan Shaw,NA,CA,RW,25,6-3,202,R,1,"$660,000",ANA
33,Jakob Silfverberg,NA,SE,RW,26,6-2,196,R,4,"$3,000,000",ANA
59,Nick Sorensen,NA,DK,RW,22,6-1,182,R,R,"$925,000",ANA
3,Clayton Stoner,NA,CA,D,31,6-4,216,L,7,"$3,250,000",ANA
53,Shea Theodore,NA,CA,D,21,6-2,195,L,1,"$832,500",ANA
30,Dustin Tokarski,NA,CA,G,27,6-0,205,L,5,"$600,000",ANA
45,Sami Vatanen,NA,FI,D,25,5-10,183,R,4,"$5,000,000",ANA
50,Antoine Vermette,NA,CA,C,34,6-1,198,L,12,"$1,750,000",ANA
21,Chris Wagner,NA,US,C,25,6-0,195,R,2,"$625,000",ANA
6,Jakob Chychrun,NA,US,D,18,6-3,200,L,R,"$925,000",ARI
44,Kevin Connauton,NA,CA,D,26,6-2,205,L,3,"$950,000",ARI
67,Lawson Crouse,NA,CA,LW,19,6-4,220,L,R,"$925,000",ARI
76,Laurent Dauphin,NA,CA,C,21,6-1,180,NA,1,"$767,500",ARI
77,Anthony Deangelo,NA,US,D,21,5-11,183,R,R,"$925,000",ARI
19,Shane Doan,C,CA,RW,40,6-1,223,R,20,"$3,876,134",ARI
16,Max Domi,NA,CA,LW,21,5-10,198,L,1,"$832,500",ARI
35,Louis Domingue,NA,CA,G,24,6-3,210,NA,2,"$1,000,000",ARI
10,Anthony Duclair,NA,CA,LW,21,5-11,185,L,2,"$832,500",ARI
18,Christian Dvorak,NA,US,LW,20,6-0,187,L,R,"$792,500",ARI
23,Oliver Ekman-Larsson,NA,SE,D,25,6-2,200,L,6,"$6,000,000",ARI
32,Tyler Gaudet,NA,CA,C,23,6-3,200,L,2,"$874,125",ARI
33,Alex Goligoski,NA,US,D,31,5-11,185,L,9,"$5,375,000",ARI
11,Martin Hanzal,NA,CS,C,29,6-6,226,L,9,"$3,500,000",ARI
48,Jordan Martinook,NA,CA,LW,24,6-0,202,L,2,"$625,000",ARI
21,Jamie McBain,NA,US,D,28,6-1,180,R,7,"$650,000",ARI
88,Jamie McGinn,NA,CA,LW,28,6-1,205,L,8,"$3,000,000",ARI
5,Connor Murphy,NA,US,D,23,6-4,212,R,3,"$2,400,000",ARI
40,Justin Peters,NA,CA,G,30,6-1,210,L,6,"$600,000",ARI
